docname,title,url,filename,path
api_functions/index,API Function Training - PolyAPI documentation,https://docs.polyapi.io/api_functions/index.html,api_functions__index.md,/Users/christopher/polyapi-docs-markdown/pages/api_functions__index.md
api_functions/openapi,Using OpenAPI Specs - PolyAPI documentation,https://docs.polyapi.io/api_functions/openapi.html,api_functions__openapi.md,/Users/christopher/polyapi-docs-markdown/pages/api_functions__openapi.md
api_functions/postman,Using Postman - PolyAPI documentation,https://docs.polyapi.io/api_functions/postman.html,api_functions__postman.md,/Users/christopher/polyapi-docs-markdown/pages/api_functions__postman.md
authentication/api-key-permissions,API Key Permissions - PolyAPI documentation,https://docs.polyapi.io/authentication/api-key-permissions.html,authentication__api-key-permissions.md,/Users/christopher/polyapi-docs-markdown/pages/authentication__api-key-permissions.md
authentication/enable-mfa-tenant,Enable MFA for Your Tenant - PolyAPI documentation,https://docs.polyapi.io/authentication/enable-mfa-tenant.html,authentication__enable-mfa-tenant.md,/Users/christopher/polyapi-docs-markdown/pages/authentication__enable-mfa-tenant.md
authentication/index,Authentication - PolyAPI documentation,https://docs.polyapi.io/authentication/index.html,authentication__index.md,/Users/christopher/polyapi-docs-markdown/pages/authentication__index.md
authentication/managing-users-and-api-keys,Managing Users and API Keys - PolyAPI documentation,https://docs.polyapi.io/authentication/managing-users-and-api-keys.html,authentication__managing-users-and-api-keys.md,/Users/christopher/polyapi-docs-markdown/pages/authentication__managing-users-and-api-keys.md
authentication/setup-sso,Setting up Single Sign-On - PolyAPI documentation,https://docs.polyapi.io/authentication/setup-sso.html,authentication__setup-sso.md,/Users/christopher/polyapi-docs-markdown/pages/authentication__setup-sso.md
authentication/setup-user-mfa,Setting up MFA for your User Account - PolyAPI documentation,https://docs.polyapi.io/authentication/setup-user-mfa.html,authentication__setup-user-mfa.md,/Users/christopher/polyapi-docs-markdown/pages/authentication__setup-user-mfa.md
canopy/architecture,Canopy Architecture and Configurations - PolyAPI documentation,https://docs.polyapi.io/canopy/architecture.html,canopy__architecture.md,/Users/christopher/polyapi-docs-markdown/pages/canopy__architecture.md
canopy/create_application,Create a Canopy UI Application - PolyAPI documentation,https://docs.polyapi.io/canopy/create_application.html,canopy__create_application.md,/Users/christopher/polyapi-docs-markdown/pages/canopy__create_application.md
canopy/implement_api,Enhancing Canopy Applications with APIs - PolyAPI documentation,https://docs.polyapi.io/canopy/implement_api.html,canopy__implement_api.md,/Users/christopher/polyapi-docs-markdown/pages/canopy__implement_api.md
canopy/implement_crud,Implementing CRUD Operations in Canopy Applications - PolyAPI documentation,https://docs.polyapi.io/canopy/implement_crud.html,canopy__implement_crud.md,/Users/christopher/polyapi-docs-markdown/pages/canopy__implement_crud.md
canopy/index,Canopy - PolyAPI documentation,https://docs.polyapi.io/canopy/index.html,canopy__index.md,/Users/christopher/polyapi-docs-markdown/pages/canopy__index.md
canopy/using_canopy,Using a Canopy Application - PolyAPI documentation,https://docs.polyapi.io/canopy/using_canopy.html,canopy__using_canopy.md,/Users/christopher/polyapi-docs-markdown/pages/canopy__using_canopy.md
copilot/copilot-vscode-install,Installing the Copilot Extension - PolyAPI documentation,https://docs.polyapi.io/copilot/copilot-vscode-install.html,copilot__copilot-vscode-install.md,/Users/christopher/polyapi-docs-markdown/pages/copilot__copilot-vscode-install.md
copilot/copilot-vscode-usage,Using the Copilot Extension - PolyAPI documentation,https://docs.polyapi.io/copilot/copilot-vscode-usage.html,copilot__copilot-vscode-usage.md,/Users/christopher/polyapi-docs-markdown/pages/copilot__copilot-vscode-usage.md
copilot/index,GitHub Copilot Extension - PolyAPI documentation,https://docs.polyapi.io/copilot/index.html,copilot__index.md,/Users/christopher/polyapi-docs-markdown/pages/copilot__index.md
environments/index,Environments - PolyAPI documentation,https://docs.polyapi.io/environments/index.html,environments__index.md,/Users/christopher/polyapi-docs-markdown/pages/environments__index.md
environments/pushing,Pushing to Another Environment - PolyAPI documentation,https://docs.polyapi.io/environments/pushing.html,environments__pushing.md,/Users/christopher/polyapi-docs-markdown/pages/environments__pushing.md
environments/ui,Managing Environments - PolyAPI documentation,https://docs.polyapi.io/environments/ui.html,environments__ui.md,/Users/christopher/polyapi-docs-markdown/pages/environments__ui.md
error_handlers/error-handler-module,errorHandler Module - PolyAPI documentation,https://docs.polyapi.io/error_handlers/error-handler-module.html,error_handlers__error-handler-module.md,/Users/christopher/polyapi-docs-markdown/pages/error_handlers__error-handler-module.md
error_handlers/error-handler-trigger,Error Handler Triggers - PolyAPI documentation,https://docs.polyapi.io/error_handlers/error-handler-trigger.html,error_handlers__error-handler-trigger.md,/Users/christopher/polyapi-docs-markdown/pages/error_handlers__error-handler-trigger.md
error_handlers/index,Error Handlers - PolyAPI documentation,https://docs.polyapi.io/error_handlers/index.html,error_handlers__index.md,/Users/christopher/polyapi-docs-markdown/pages/error_handlers__index.md
generated_sdks/client_functions,Client Functions - PolyAPI documentation,https://docs.polyapi.io/generated_sdks/client_functions.html,generated_sdks__client_functions.md,/Users/christopher/polyapi-docs-markdown/pages/generated_sdks__client_functions.md
generated_sdks/dotnet,.NET (Beta) - PolyAPI documentation,https://docs.polyapi.io/generated_sdks/dotnet.html,generated_sdks__dotnet.md,/Users/christopher/polyapi-docs-markdown/pages/generated_sdks__dotnet.md
generated_sdks/index,Generated SDKs - PolyAPI documentation,https://docs.polyapi.io/generated_sdks/index.html,generated_sdks__index.md,/Users/christopher/polyapi-docs-markdown/pages/generated_sdks__index.md
generated_sdks/java,Java - PolyAPI documentation,https://docs.polyapi.io/generated_sdks/java.html,generated_sdks__java.md,/Users/christopher/polyapi-docs-markdown/pages/generated_sdks__java.md
generated_sdks/python,Python - PolyAPI documentation,https://docs.polyapi.io/generated_sdks/python.html,generated_sdks__python.md,/Users/christopher/polyapi-docs-markdown/pages/generated_sdks__python.md
generated_sdks/typescript,TypeScript (Node) - PolyAPI documentation,https://docs.polyapi.io/generated_sdks/typescript.html,generated_sdks__typescript.md,/Users/christopher/polyapi-docs-markdown/pages/generated_sdks__typescript.md
graphql_subscriptions/index,GraphQL Subscriptions - PolyAPI documentation,https://docs.polyapi.io/graphql_subscriptions/index.html,graphql_subscriptions__index.md,/Users/christopher/polyapi-docs-markdown/pages/graphql_subscriptions__index.md
graphql_subscriptions/managing-subscriptions,Managing GraphQL Subscriptions - PolyAPI documentation,https://docs.polyapi.io/graphql_subscriptions/managing-subscriptions.html,graphql_subscriptions__managing-subscriptions.md,/Users/christopher/polyapi-docs-markdown/pages/graphql_subscriptions__managing-subscriptions.md
graphql_subscriptions/ohip-subscriptions,OHIP GraphQL Subscriptions - PolyAPI documentation,https://docs.polyapi.io/graphql_subscriptions/ohip-subscriptions.html,graphql_subscriptions__ohip-subscriptions.md,/Users/christopher/polyapi-docs-markdown/pages/graphql_subscriptions__ohip-subscriptions.md
index,PolyAPI documentation,https://docs.polyapi.io/index.html,index.md,/Users/christopher/polyapi-docs-markdown/pages/index.md
jobs/executions,Checking Job Executions - PolyAPI documentation,https://docs.polyapi.io/jobs/executions.html,jobs__executions.md,/Users/christopher/polyapi-docs-markdown/pages/jobs__executions.md
jobs/index,Jobs - PolyAPI documentation,https://docs.polyapi.io/jobs/index.html,jobs__index.md,/Users/christopher/polyapi-docs-markdown/pages/jobs__index.md
jobs/managing,Managing Jobs - PolyAPI documentation,https://docs.polyapi.io/jobs/managing.html,jobs__managing.md,/Users/christopher/polyapi-docs-markdown/pages/jobs__managing.md
logging/index,Logging - PolyAPI documentation,https://docs.polyapi.io/logging/index.html,logging__index.md,/Users/christopher/polyapi-docs-markdown/pages/logging__index.md
logging/logs_api,Logs API - PolyAPI documentation,https://docs.polyapi.io/logging/logs_api.html,logging__logs_api.md,/Users/christopher/polyapi-docs-markdown/pages/logging__logs_api.md
logging/logs_canopy,Logs in Canopy UI - PolyAPI documentation,https://docs.polyapi.io/logging/logs_canopy.html,logging__logs_canopy.md,/Users/christopher/polyapi-docs-markdown/pages/logging__logs_canopy.md
next_steps,Next Steps - PolyAPI documentation,https://docs.polyapi.io/next_steps.html,next_steps.md,/Users/christopher/polyapi-docs-markdown/pages/next_steps.md
platform_overview,Platform Overview - PolyAPI documentation,https://docs.polyapi.io/platform_overview.html,platform_overview.md,/Users/christopher/polyapi-docs-markdown/pages/platform_overview.md
project_glide/disable-ai,Using Glide without AI - PolyAPI documentation,https://docs.polyapi.io/project_glide/disable-ai.html,project_glide__disable-ai.md,/Users/christopher/polyapi-docs-markdown/pages/project_glide__disable-ai.md
project_glide/git-integration,Setup Glide Workflow - PolyAPI documentation,https://docs.polyapi.io/project_glide/git-integration.html,project_glide__git-integration.md,/Users/christopher/polyapi-docs-markdown/pages/project_glide__git-integration.md
project_glide/gitlab-workflow,Gitlab Workflow - PolyAPI documentation,https://docs.polyapi.io/project_glide/gitlab-workflow.html,project_glide__gitlab-workflow.md,/Users/christopher/polyapi-docs-markdown/pages/project_glide__gitlab-workflow.md
project_glide/index,Project Glide - PolyAPI documentation,https://docs.polyapi.io/project_glide/index.html,project_glide__index.md,/Users/christopher/polyapi-docs-markdown/pages/project_glide__index.md
project_glide/manual-prepare-and-sync,Manually Preparing and Syncing - PolyAPI documentation,https://docs.polyapi.io/project_glide/manual-prepare-and-sync.html,project_glide__manual-prepare-and-sync.md,/Users/christopher/polyapi-docs-markdown/pages/project_glide__manual-prepare-and-sync.md
project_glide/resources,Supported Resources - PolyAPI documentation,https://docs.polyapi.io/project_glide/resources.html,project_glide__resources.md,/Users/christopher/polyapi-docs-markdown/pages/project_glide__resources.md
quickstart,Quickstart - PolyAPI documentation,https://docs.polyapi.io/quickstart.html,quickstart.md,/Users/christopher/polyapi-docs-markdown/pages/quickstart.md
schemas/create_schemas,Creating Schemas - PolyAPI documentation,https://docs.polyapi.io/schemas/create_schemas.html,schemas__create_schemas.md,/Users/christopher/polyapi-docs-markdown/pages/schemas__create_schemas.md
schemas/index,Schemas - PolyAPI documentation,https://docs.polyapi.io/schemas/index.html,schemas__index.md,/Users/christopher/polyapi-docs-markdown/pages/schemas__index.md
schemas/use_schemas,Using Schemas - PolyAPI documentation,https://docs.polyapi.io/schemas/use_schemas.html,schemas__use_schemas.md,/Users/christopher/polyapi-docs-markdown/pages/schemas__use_schemas.md
snippets/index,Snippets - PolyAPI documentation,https://docs.polyapi.io/snippets/index.html,snippets__index.md,/Users/christopher/polyapi-docs-markdown/pages/snippets__index.md
snippets/managing-snippets,Managing Snippets - PolyAPI documentation,https://docs.polyapi.io/snippets/managing-snippets.html,snippets__managing-snippets.md,/Users/christopher/polyapi-docs-markdown/pages/snippets__managing-snippets.md
snippets/using-snippets,Using Snippets - PolyAPI documentation,https://docs.polyapi.io/snippets/using-snippets.html,snippets__using-snippets.md,/Users/christopher/polyapi-docs-markdown/pages/snippets__using-snippets.md
tabi_tables/best_practices,Tabi Best Practices - PolyAPI documentation,https://docs.polyapi.io/tabi_tables/best_practices.html,tabi_tables__best_practices.md,/Users/christopher/polyapi-docs-markdown/pages/tabi_tables__best_practices.md
tabi_tables/index,Tabi Tables - PolyAPI documentation,https://docs.polyapi.io/tabi_tables/index.html,tabi_tables__index.md,/Users/christopher/polyapi-docs-markdown/pages/tabi_tables__index.md
tabi_tables/limitations,Tabi Limitations - PolyAPI documentation,https://docs.polyapi.io/tabi_tables/limitations.html,tabi_tables__limitations.md,/Users/christopher/polyapi-docs-markdown/pages/tabi_tables__limitations.md
tabi_tables/row_operations,Tabi Row Operations - PolyAPI documentation,https://docs.polyapi.io/tabi_tables/row_operations.html,tabi_tables__row_operations.md,/Users/christopher/polyapi-docs-markdown/pages/tabi_tables__row_operations.md
tabi_tables/table_management,Manage Tabi Tables - PolyAPI documentation,https://docs.polyapi.io/tabi_tables/table_management.html,tabi_tables__table_management.md,/Users/christopher/polyapi-docs-markdown/pages/tabi_tables__table_management.md
vari_variables/code,Vari in Your Code - PolyAPI documentation,https://docs.polyapi.io/vari_variables/code.html,vari_variables__code.md,/Users/christopher/polyapi-docs-markdown/pages/vari_variables__code.md
vari_variables/execute_endpoints,Using Variables with Execute Endpoints - PolyAPI documentation,https://docs.polyapi.io/vari_variables/execute_endpoints.html,vari_variables__execute_endpoints.md,/Users/christopher/polyapi-docs-markdown/pages/vari_variables__execute_endpoints.md
vari_variables/index,Vari Variables - PolyAPI documentation,https://docs.polyapi.io/vari_variables/index.html,vari_variables__index.md,/Users/christopher/polyapi-docs-markdown/pages/vari_variables__index.md
vari_variables/ui,Vari Management UI - PolyAPI documentation,https://docs.polyapi.io/vari_variables/ui.html,vari_variables__ui.md,/Users/christopher/polyapi-docs-markdown/pages/vari_variables__ui.md
versions,Versions - PolyAPI documentation,https://docs.polyapi.io/versions.html,versions.md,/Users/christopher/polyapi-docs-markdown/pages/versions.md
webhooks/index,Webhooks - PolyAPI documentation,https://docs.polyapi.io/webhooks/index.html,webhooks__index.md,/Users/christopher/polyapi-docs-markdown/pages/webhooks__index.md
webhooks/managing-triggers,Managing Triggers - PolyAPI documentation,https://docs.polyapi.io/webhooks/managing-triggers.html,webhooks__managing-triggers.md,/Users/christopher/polyapi-docs-markdown/pages/webhooks__managing-triggers.md
webhooks/managing-webhooks,Managing Webhooks - PolyAPI documentation,https://docs.polyapi.io/webhooks/managing-webhooks.html,webhooks__managing-webhooks.md,/Users/christopher/polyapi-docs-markdown/pages/webhooks__managing-webhooks.md
webhooks/testing,Testing Webhooks - PolyAPI documentation,https://docs.polyapi.io/webhooks/testing.html,webhooks__testing.md,/Users/christopher/polyapi-docs-markdown/pages/webhooks__testing.md
webhooks/webhook-security-functions,Webhook Security Functions - PolyAPI documentation,https://docs.polyapi.io/webhooks/webhook-security-functions.html,webhooks__webhook-security-functions.md,/Users/christopher/polyapi-docs-markdown/pages/webhooks__webhook-security-functions.md
